Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
2011/07,15797.020558,401000.000000,10.182596, 0.011360, 3707, 0.000000, 0.000000
2011/10,13236.247239,354000.000000,10.018760, -0.126552, 3616, 0.002090, 0.000014
2012/01,14640.624813,406000.000000,10.403600, 0.134449, 3585, 0.004696, 0.000019
2012/04,16447.997825,559000.000000,10.018242, 0.150881, 3643, 0.003282, 0.000015
2012/07,15831.403875,546000.000000,10.019515, -0.017199, 3600, 0.005831, 0.000020
2012/10,16608.911384,625000.000000,10.067676, 0.069994, 3605, 0.001555, 0.000013
2013/01,16523.708358,501000.000000,10.060680, 0.014119, 3567, 0.003261, 0.000017
2013/04,18234.994523,416000.000000,10.008193, 0.122313, 3584, 0.002060, 0.000015
2013/07,18582.216125,402000.000000,10.085416, 0.040036, 3614, 0.004280, 0.000022
2013/10,19775.960845,433000.000000,10.017214, 0.079844, 3672, 0.003389, 0.000023
2014/01,21707.750965,505000.000000,10.100511, 0.110647, 3706, 0.004761, 0.000023
2014/04,22044.418668,479000.000000,10.226855, 0.029079, 3763, 0.002281, 0.000012
2014/07,22979.286172,560000.000000,10.125116, 0.055796, 3770, 0.002117, 0.000012
2014/10,22821.978317,603000.000000,10.458649, 0.010293, 3836, 0.003314, 0.000015
2015/01,23818.255561,647000.000000,10.096968, 0.066875, 3815, 0.003500, 0.000016
2015/04,24083.157508,725000.000000,10.160681, 0.031189, 3802, 0.002755, 0.000016
2015/07,23947.407547,723000.000000,10.615497, 0.012307, 3814, 0.003202, 0.000016
2015/10,21920.312752,629000.000000,10.183881, -0.055656, 3768, 0.006607, 0.000027
2016/01,23046.726400,587000.000000,10.005097, 0.074451, 3747, 0.010102, 0.000038
2016/04,22827.872574,604000.000000,10.096057, 0.022502, 3668, 0.000357, 0.000015
2016/07,23121.377270,524000.000000,10.218182, 0.038803, 3655, 0.001783, 0.000020
